,cleaned_required_skills,simplified_job_title,count
423,customer segmentation,Data Analyst,1
424,customer segmentation,Data Scientist,3
425,customer service,Business Intelligence,3
426,customer service,Data Analyst,4
427,customer service,Data Scientist,1
428,customer service,Intern,1
429,customer support,Data Analyst,1
430,dash boarding,Data Analyst,1
431,dashboard,Business Intelligence,2
432,dashboard,Data Analyst,9
433,dashboard,Data Scientist,1
434,dashboard building,Data Analyst,2
435,dashboard design,Business Intelligence,2
436,dashboard design,Intern,1
437,dashboard development,Data Analyst,2
438,dashboard development,Data Scientist,1
439,dashboard development,Intern,1
440,dashboarding,Data Analyst,5
441,dashboarding,Data Scientist,1
442,data,Data Analyst,4
443,data,Data Scientist,2
444,data acquisition,Data Analyst,2
445,data acquisition,Data Scientist,1
446,data administration,Data Analyst,1
447,data aggregation,Data Analyst,1
448,data analysis,Business Intelligence,22
449,data analysis,Data Analyst,177
450,data analysis,Data Scientist,115
451,data analysis,Intern,19
452,data analysis tool,Data Analyst,6
453,data analyst,Data Analyst,1
454,data analytical,Data Scientist,1
455,data analytics,Business Intelligence,4
456,data analytics,Data Analyst,29
457,data analytics,Data Scientist,8
458,data analytics tool,Data Analyst,1
459,data architecture,Data Analyst,2
460,data architecture,Data Scientist,6
461,data automation,Business Intelligence,1
462,data blending,Business Intelligence,1
463,data cleaning,Business Intelligence,1
464,data cleaning,Data Analyst,11
465,data cleaning,Data Scientist,8
466,data cleaning,Intern,1
467,data cleaning preparation,Data Analyst,1
468,data cleansing,Business Intelligence,1
469,data cleansing,Data Analyst,4
470,data cleansing,Data Scientist,4
471,data cleansing,Intern,2
472,data collection,Data Analyst,5
473,data collection,Data Scientist,3
474,data collection,Intern,1
475,data communication,Data Analyst,2
476,data comparison,Data Analyst,2
477,data creation,Data Analyst,1
478,data dependency,Data Analyst,1
479,data diagnostics,Data Scientist,1
480,data dictionary,Data Analyst,1
481,data discrepancy,Data Analyst,1
482,data driven product,Data Scientist,1
483,data editing,Data Analyst,1
484,data engineering,Data Analyst,8
485,data engineering,Data Scientist,12
